受渡日,時刻コード,売り入札量(kWh),買い入札量(kWh),約定総量(kWh),システムプライス(円/kWh),エリアプライス北海道(円/kWh),エリアプライス東北(円/kWh),エリアプライス東京(円/kWh),エリアプライス中部(円/kWh),エリアプライス北陸(円/kWh),エリアプライス関西(円/kWh),エリアプライス中国(円/kWh),エリアプライス四国(円/kWh),エリアプライス九州(円/kWh),売りブロック入札総量(kWh),売りブロック約定総量(kWh),買いブロック入札総量(kWh),買いブロック約定総量(kWh)
2022/1/1,1,18109750,19732300,16671250,15.46,19.86,19.86,19.86,19.86,19.86,19.86,19.86,19.86,13.25,4778800,3714450,1674250,861300
2022/1/1,2,19574000,20603350,17250450,15.46,19.84,19.84,19.84,19.84,19.84,19.84,19.84,19.84,13.25,5377700,3916650,2625450,1677200
2022/1/1,3,20715000,20963000,17568350,15.46,19.62,19.62,19.62,19.62,19.62,19.62,19.62,19.62,13.25,5635800,3937450,3337500,2238250
2022/1/1,4,21421600,21306050,17867750,15.46,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,13.25,6014100,3940050,3730850,2607300
2022/1/1,5,21960500,21443450,17997900,15.46,17.49,17.49,17.49,17.49,17.49,17.49,17.49,17.49,13.25,6400900,3936450,4041000,2898850
2022/1/1,6,22239800,21463050,18038500,15.46,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,13.25,6648850,3933900,4286100,3102200
2022/1/1,7,22636750,21523300,18073550,15.46,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,13.25,6895350,3932600,4503150,3335750
2022/1/1,8,23329100,21626500,18245350,15.46,16.61,16.61,16.61,16.61,16.61,16.61,16.61,16.61,10.53,7069800,3930250,4749600,3542000
2022/1/1,9,23657000,21561500,18302450,15.46,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,10.53,7151700,3928950,4934100,3700000
2022/1/1,10,23714500,21671400,18358500,15.46,16.97,16.97,16.97,16.97,16.97,16.97,16.97,16.97,10.53,7262800,3934550,5036650,3841600
2022/1/1,11,23927150,21351600,18415300,15.46,15,15,15,15.93,15.93,15.93,15.93,15.93,10.53,7463800,3933050,4959850,3863050
2022/1/1,12,23954450,21263850,18334550,15.46,15.16,15.16,15.16,15.93,15.93,15.93,15.93,15.93,9.87,7598250,3932000,4764800,3810600
2022/1/1,13,23811050,20975350,17955200,15.46,15.13,16.61,16.61,16.61,16.61,16.61,16.61,16.61,9.87,7609550,3933800,4711100,3822050
2022/1/1,14,23739800,21185400,17972500,15.46,13.15,16.65,16.65,16.65,16.65,16.65,16.65,16.65,9.87,7719800,3930850,4709500,3765350
2022/1/1,15,23566850,21242250,17881200,15.46,12.99,16.66,16.66,16.66,16.66,16.66,16.66,16.66,9.87,7864500,3754050,4691350,3785500
2022/1/1,16,24239850,21442350,18093300,15.46,16.66,16.66,16.66,16.66,16.66,16.66,16.66,16.66,9.87,7788200,3495250,4480600,3786800
2022/1/1,17,25142950,21765400,18563650,16.04,16.66,16.66,16.66,16.66,16.66,16.66,16.66,16.66,9.87,8126950,3268500,4457150,3917850
2022/1/1,18,26982500,21695200,18639650,15.15,16.65,16.65,16.65,16.65,16.65,16.65,16.65,16.65,9.87,8692850,3018900,4235950,3765800
2022/1/1,19,27945300,21182550,18820350,11.17,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,4.04,9724750,2772050,4071050,3576950
